word1,word2,sim,wmean
препарат,вещество,1.0,0.484418
препарат,лекарство,1.0,0.634770
препарат,перестройка,0.0,0.157699
препарат,барселона,0.0,0.105411
инспекция,проверка,1.0,0.532748
инспекция,гол,0.0,0.107823
латы,меч,1.0,0.428076
латы,щит,1.0,0.441120
латы,рыцарь,1.0,0.453718
латы,броня,1.0,0.414047
латы,доспехи,1.0,0.543852
латы,кольчуга,1.0,0.542439
латы,металл,1.0,0.214529
латы,небо,0.0,0.183160
латы,поток,0.0,0.112823
латы,чиновник,0.0,0.094726
латы,аренда,0.0,0.085133
латы,лекция,0.0,0.110712
латы,окраина,0.0,0.075294
латы,преступление,0.0,0.115755
лечебница,здравница,1.0,0.428190
лечебница,порт,0.0,0.163140
концепция,идея,1.0,0.591297
концепция,васильевич,0.0,0.078715
карман,деньги,1.0,0.422498
карман,дырка,1.0,0.396060
карман,пиджак,1.0,0.550222
карман,вор,1.0,0.327037
карман,мелочь,1.0,0.391932
карман,формула,0.0,0.113592
карман,издательство,0.0,0.083181
карман,георгий,0.0,0.109800
карман,лесной,0.0,0.128520
карман,правитель,0.0,0.071262
флегматик,сангвиник,1.0,0.596323
флегматик,темперамент,1.0,0.509003
флегматик,поступок,0.0,0.224258
флегматик,свинья,0.0,0.145054
глупость,невежество,1.0,0.545505
глупость,тупость,1.0,0.638396
глупость,неразумность,1.0,0.462357
глупость,дурак,1.0,0.482851
глупость,идиотизм,1.0,0.576951
глупость,чушь,1.0,0.583483
глупость,ум,1.0,0.346980
глупость,блондинка,1.0,0.177877
глупость,открытие,0.0,0.137542
глупость,ширина,0.0,0.108459
глупость,англия,0.0,0.148501
глупость,курс,0.0,0.083098
глупость,основатель,0.0,0.089764
глупость,минута,0.0,0.170604
глупость,спорт,0.0,0.114537
глупость,титул,0.0,0.151933
проблема,вопрос,1.0,0.619315
проблема,задача,1.0,0.551463
проблема,решение,1.0,0.437173
проблема,неприятность,1.0,0.373087
проблема,дилемма,1.0,0.500067
проблема,рыцарь,0.0,0.102847
проблема,регистр,0.0,0.133138
проблема,давление,0.0,0.259982
проблема,саундтрек,0.0,0.121702
проблема,витязь,0.0,0.064812
волшебство,цветок,1.0,0.210311
волшебство,жизнь,1.0,0.292459
волшебство,сказка,1.0,0.481253
волшебство,чудо,1.0,0.436939
волшебство,палочка,1.0,0.238102
волшебство,маг,1.0,0.389501
волшебство,превращение,1.0,0.348001
волшебство,магия,1.0,0.602198
волшебство,позиция,0.0,0.079968
волшебство,комитет,0.0,0.067375
волшебство,материал,0.0,0.099553
волшебство,номер,0.0,0.061438
волшебство,выход,0.0,0.093969
волшебство,множество,0.0,0.206447
волшебство,база,0.0,0.052760
волшебство,издание,0.0,0.151714
мундштук,трубка,1.0,0.535585
мундштук,сигарета,1.0,0.507676
мундштук,папироса,1.0,0.548575
мундштук,кожа,0.0,0.234239
мундштук,нация,0.0,0.079367
мундштук,пушка,0.0,0.183151
трясина,болото,1.0,0.637183
трясина,топь,1.0,0.637484
трясина,ухо,0.0,0.181418
трясина,копье,0.0,0.138808
папоротник,растение,1.0,0.561258
папоротник,придворный,0.0,0.120067
сплетня,слух,1.0,0.569920
сплетня,раскол,0.0,0.192844
кузнец,сеновал,1.0,0.204870
кузнец,кузница,1.0,0.590794
кузнец,вакула,1.0,0.452425
кузнец,кузня,1.0,0.470241
кузнец,лошадь,1.0,0.306428
кузнец,молот,1.0,0.467840
кузнец,железо,1.0,0.320275
кузнец,металл,1.0,0.325250
кузнец,подкова,1.0,0.316984
кузнец,наковальня,1.0,0.475810
кузнец,пожар,0.0,0.118177
кузнец,мысль,0.0,0.094923
кузнец,лодка,0.0,0.103402
кузнец,ограничение,0.0,0.064808
кузнец,протяженность,0.0,0.080964
кузнец,гонка,0.0,0.054224
кузнец,том,0.0,0.114929
кузнец,союзник,0.0,0.134869
кузнец,приз,0.0,0.115263
кузнец,израиль,0.0,0.079505
луза,шар,1.0,0.439771
луза,повесть,0.0,0.082333
господь,бог,1.0,0.686957
господь,реестр,0.0,0.067371
градусник,температура,1.0,0.501181
градусник,ртуть,1.0,0.411490
градусник,цельсий,1.0,0.390843
градусник,доктор,1.0,0.198945
градусник,термометр,1.0,0.614284
градусник,шкала,1.0,0.317083
градусник,комиссия,0.0,0.126629
градусник,объем,0.0,0.105274
градусник,целое,0.0,0.117913
градусник,письмо,0.0,0.161652
градусник,принцип,0.0,0.109127
градусник,появление,0.0,0.098229
патефон,игла,1.0,0.294229
патефон,пластинка,1.0,0.517630
патефон,стремление,0.0,0.074940
патефон,колесо,0.0,0.185892
жулик,путин,1.0,0.211887
жулик,детство,0.0,0.092958
братва,пацаны,1.0,0.408430
братва,производство,0.0,0.095665
похожесть,сходство,1.0,0.540163
похожесть,ноль,0.0,0.149345
анаконда,змея,1.0,0.456694
анаконда,число,0.0,0.077147
шляпка,гвоздь,1.0,0.427171
шляпка,гриб,1.0,0.499426
шляпка,столб,0.0,0.204586
шляпка,секция,0.0,0.140139
стрела,пуля,1.0,0.552103
стрела,лучник,1.0,0.545906
стрела,лягушка,1.0,0.350332
стрела,цель,1.0,0.313646
стрела,тетива,1.0,0.585765
стрела,лук,1.0,0.534984
стрела,арбалет,1.0,0.565938
стрела,мишень,1.0,0.475060
стрела,амур,1.0,0.375707
стрела,полёт,1.0,0.364153
стрела,наконечник,1.0,0.588332
стрела,колчан,1.0,0.586655
стрела,бен,0.0,0.122914
стрела,коми,0.0,0.080152
стрела,доставка,0.0,0.128743
стрела,каролина,0.0,0.098268
стрела,новосибирск,0.0,0.150833
стрела,ботаник,0.0,0.068271
стрела,авангард,0.0,0.196036
стрела,исчезновение,0.0,0.091413
стрела,эскадра,0.0,0.147867
стрела,ассамблея,0.0,0.067642
стрела,фердинанд,0.0,0.116158
стрела,джонс,0.0,0.133146
этикетка,бутылка,1.0,0.531274
этикетка,барьер,0.0,0.067727
тритон,ящерица,1.0,0.431769
тритон,стрела,0.0,0.149711
темнота,чернота,1.0,0.556783
темнота,страх,1.0,0.392906
темнота,тьма,1.0,0.634076
темнота,фонарь,1.0,0.511302
темнота,свет,1.0,0.537819
темнота,вечер,1.0,0.397304
темнота,мрак,1.0,0.633407
темнота,ночь,1.0,0.488894
темнота,темень,1.0,0.581913
темнота,мгла,1.0,0.511442
темнота,стенка,0.0,0.196335
темнота,подчиненный,0.0,0.083774
темнота,избиратель,0.0,0.082170
темнота,колебание,0.0,0.169009
темнота,полководец,0.0,0.129993
