word1,word2,sim,wmean
автомобиль,машина,0.958333,0.726047
маг,волшебник,0.958333,0.638966
доллар,бакс,0.952381,0.692884
мальчик,парень,0.952381,0.502135
машина,автомобиль,0.952381,0.726017
кладбище,погост,0.916667,0.671211
автограф,подпись,0.916667,0.380307
расположение,размещение,0.916667,0.443725
расчет,вычисление,0.916667,0.522431
жидкость,вода,0.904762,0.534354
чемпионат,турнир,0.888889,0.573852
шнур,веревка,0.888889,0.665484
тигр,тигр,0.875,0.999138
поездка,путешествие,0.857143,0.715702
деньги,богатство,0.851852,0.457209
футбол,мини-футбол,0.833333,0.801029
крепостной,раб,0.814815,0.597162
ребенок,мать,0.814815,0.517667
марафон,спринт,0.809524,0.359668
король,королева,0.791667,0.662432
убийство,кровопролитие,0.791667,0.608115
улица,проспект,0.791667,0.693768
деньги,валюта,0.777778,0.434344
алюминий,металл,0.761905,0.631309
морепродукт,омар,0.761905,0.332275
деньги,наличные,0.75,0.486777
птица,журавль,0.75,0.585416
холм,курган,0.733333,0.521972
дерево,лес,0.714286,0.484335
водка,джин,0.714286,0.549380
омар,еда,0.708333,0.215249
приспособление,инструмент,0.708333,0.594308
тигр,кошка,0.708333,0.533559
тигр,ягуар,0.708333,0.584396
ягуар,кошка,0.708333,0.416797
теннис,ракетка,0.7,0.379282
книга,библиотека,0.666667,0.459342
век,год,0.666667,0.406817
доллар,йена,0.666667,0.185507
мексика,бразилия,0.666667,0.701860
новость,сообщение,0.666667,0.476293
еда,фрукт,0.666667,0.383245
лес,лесопарк,0.666667,0.444964
тигр,кошачьи,0.666667,0.400073
мобильный,телефон,0.641026,0.530063
деньги,доллар,0.636364,0.393580
морепродукт,море,0.636364,0.144602
объявление,предупреждение,0.625,0.452157
деньги,банк,0.625,0.297611
камень,драгоценность,0.625,0.268525
компания,фонд,0.625,0.261621
психология,дисциплина,0.625,0.276742
психология,наука,0.625,0.482829
тигр,млекопитающее,0.625,0.334405
тигр,хищник,0.625,0.601307
водка,бренди,0.625,0.699687
иерусалим,израиль,0.622222,0.495950
прибор,приспособление,0.622222,0.500571
лечение,восстановление,0.619048,0.235197
