word1,word2,sim
расположение,размещение,0.916667
деньги,богатство,0.851852
ребенок,мать,0.814815
теннис,ракетка,0.7
новость,сообщение,0.666667
война,войска,0.666667
книга,библиотека,0.666667
банк,деньги,0.636364
морепродукт,море,0.636364
деньги,банк,0.625
компания,фонд,0.625
объявление,предупреждение,0.625
иерусалим,израиль,0.622222
страна,гражданин,0.619048
лечение,восстановление,0.619048
инструмент,приcпособление,0.615385
марадона,футбол,0.604167
природа,среда,0.6
кино,театр,0.6
компьютер,клавиатура,0.583333
компьютер,программа,0.583333
психология,фрейд,0.583333
шкаф,одежда,0.583333
планета,космос,0.583333
психология,cознание,0.583333
деньги,имущество,0.583333
чашка,кофе,0.583333
ливень,наводнение,0.583333
любовь,секс,0.571429
фбр,расследование,0.555556
телевидение,фильм,0.555556
бокс,раунд,0.555556
компьютер,интернет,0.555556
книга,бумага,0.555556
зритель,сериал,0.545455
игра,победа,0.541667
кровать,шкаф,0.541667
поездка,машина,0.541667
иерусалим,палестинец,0.533333
сеть,аппаратура,0.533333
наркотик,злоупотребление,0.533333
прецедент,право,0.533333
закон,юрист,0.523810
планета,астроном,0.518519
деньги,депозит,0.518519
телефон,сообщение,0.518519
жертва,авария,0.518519
территория,километр,0.518519
кино,критик,0.5
инсульт,больница,0.5
юрист,доказательство,0.5
брат,монах,0.490196
еда,приготовление,0.488889
погода,прогноз,0.487179
физика,протон,0.479167
игра,поражение,0.472222
министр,партия,0.466667
прецедент,познание,0.466667
планета,галактика,0.458333
отель,бронирование,0.458333
психология,депрессия,0.458333
чашка,напиток,0.458333
психология,клиника,0.458333
награда,мужество,0.458333
инвалидность,смерть,0.458333
фбр,улика,0.454545
день,рассвет,0.444444
среда,экология,0.444444
игра,раунд,0.444444
игра,команда,0.428571
арафат,терроризм,0.428571
концерт,виртуоз,0.428571
чашка,предмет,0.428571
планета,люди,0.416667
планета,созвездие,0.416667
допуск,билет,0.416667
опек,нефть,0.404762
компьютер,лаборатория,0.400000
космос,мир,0.395833
тигр,зоопарк,0.380952
вода,утечка,0.380952
опек,страна,0.370370
каньон,пейзаж,0.375
бой,поражение,0.375
психология,страх,0.375
проблема,вызов,0.375
чашка,еда,0.375
психология,здоровье,0.363636
инвестор,заработок,0.363636
марс,ученый,0.358974
деньги,снятие,0.355556
деньги,отмывание,0.351852
фонд,рынок,0.333333
валюта,рынок,0.333333
доллар,прибыль,0.333333
деньги,владение,0.333333
лето,засуха,0.333333
психология,тревога,0.333333
сохранение,мир,0.333333
кино,попкорн,0.333333
любовник,ссора,0.333333
прибытие,отель,0.333333
чашка,жидкость,0.333333
конкуренция,цена,0.333333
перечисление,категория,0.333333
лето,природа,0.333333
алкоголь,химия,0.333333
выставка,реликвия,0.333333
энергия,лаборатория,0.333333
потребитель,энергия,0.333333
парень,брат,0.333333
начало,год,0.303030
ответственность,страхование,0.3
побережье,лес,0.3
психология,познание,0.291667
психология,доктор,0.291667
доктор,ответственность,0.291667
умник,студент,0.291667
кредит,карта,0.285714
министерство,культура,0.282051
семья,планирование,0.277778
жизнь,срок,0.27451
территория,поверхность,0.266667
секретарь,сенат,0.266667
цель,жизнь,0.266667
театр,история,0.266667
видео,архив,0.261905
жизнь,урок,0.25641
открытие,космос,0.259259
беспристрастность,интерес,0.250000
мораль,важность,0.250000
день,лето,0.25
сто,процент,0.25
улица,дети,0.25
потребитель,доверие,0.25
мораль,брак,0.25
деньги,операция,0.25
журавль,приспособление,0.25
кредит,информация,0.242424
кино,звезда,0.242424
начало,матч,0.242424
компьютер,новости,0.242424
дивиденд,расчет,0.238095
изображение,поверхность,0.238095
шанс,доверие,0.238095
рождаемость,яйцо,0.222222
пол,равенство,0.222222
игра,серия,0.222222
развитие,вопрос,0.214286
губернатор,офис,0.212121
ситуация,заключение,0.212121
сми,торговля,0.212121
правительство,кризис,0.208333
роскошь,автомобиль,0.208333
расследование,усилие,0.205128
прецедент,информация,0.186275
мыло,опера,0.185185
оборудование,производитель,0.179487
доллар,потеря,0.166667
регистрация,расположение,0.166667
бейсбол,сезон,0.166667
напиток,рот,0.166667
