word1,word2,sim
петух,петушок,0.952381
побережье,берег,0.904762
тип,вид,0.851852
миля,километр,0.791667
чашка,посуда,0.761905
птица,петух,0.714286
война,войска,0.666667
улица,квартал,0.666667
банк,деньги,0.636364
морепродукт,еда,0.625000
усмешка,улыбка,0.622222
доктор,медсестра,0.619048
ливень,гроза,0.600000
компьютер,клавиатура,0.583333
компьютер,программа,0.583333
журавль,петушок,0.571429
бокс,раунд,0.555556
зритель,сериал,0.545455
иерусалим,палестинец,0.533333
закон,юрист,0.523810
деньги,депозит,0.518519
прибыль,убыток,0.511111
прецедент,пример,0.491228
телевидение,радио,0.481481
оракул,мудрец,0.458333
чашка,напиток,0.458333
улица,место,0.444444
поезд,машина,0.416667
компьютер,лаборатория,0.400000
вода,утечка,0.380952
футбол,баскетбол,0.375000
опек,страна,0.370370
сохранение,мир,0.333333
парень,брат,0.333333
доллар,прибыль,0.333333
конкуренция,цена,0.333333
начало,год,0.303030
кредит,карта,0.285714
секретарь,сенат,0.266667
видео,архив,0.261905
мораль,важность,0.250000
беспристрастность,интерес,0.250000
компьютер,новости,0.242424
опера,выступление,0.238095
губернатор,офис,0.212121
расследование,усилие,0.205128
омар,вино,0.185185
губернатор,интервью,0.166667
бакалея,деньги,0.166667
святой,секс,0.146667
направление,сочетание,0.125000
усмешка,парень,0.106061
парень,волшебник,0.100000
доброволец,девиз,0.090909
аккорд,улыбка,0.087719
энергия,кризис,0.083333
бедствие,площадь,0.047619
производство,экипаж,0.047619
мальчик,мудрец,0.041667
прибыль,предупреждение,0.041667
напиток,машина,0.000000
сахар,подход,0.000000
лес,погост,0.000000
практика,учреждение,0.000000
фонд,cd,0.000000
