word1,word2,sim
маг,волшебник,0.958333
автомобиль,машина,0.958333
мальчик,парень,0.952381
петух,петушок,0.952381
автограф,подпись,0.916667
кладбище,погост,0.916667
побережье,берег,0.904762
шнур,веревка,0.888889
поездка,путешествие,0.857143
крепостной,раб,0.814815
птица,журавль,0.75
холм,курган,0.733333
птица,петух,0.714286
приспособление,инструмент,0.708333
еда,фрукт,0.666667
лес,лесопарк,0.666667
камень,драгоценность,0.625
усмешка,улыбка,0.622222
день,полдень,0.6
журавль,петушок,0.571429
печь,плита,0.537037
стекло,стакан,0.518519
брат,монах,0.490196
оракул,мудрец,0.458333
маг,оракул,0.424242
мудрец,волшебник,0.388889
кладбище,курган,0.384615
валик,подушка,0.384615
брат,парень,0.375
птица,лесопарк,0.333333
автомобиль,путешествие,0.333333
монах,оракул,0.307692
еда,петушок,0.270833
печь,приспособление,0.266667
берег,лес,0.259259
берег,путешествие,0.25
приют,кладбище,0.25
журавль,приспособление,0.25
приют,дурдом,0.238095
холм,лесопарк,0.208333
приют,монах,0.2
курган,плита,0.185185
курган,берег,0.185185
берег,лесопарк,0.166667
побережье,холм,0.166667
стекло,драгоценность,0.166667
мальчик,петушок,0.125
монах,раб,0.111111
усмешка,приспособление,0.111111
усмешка,парень,0.106061
кладбище,лесопарк,0.104167
погост,дурдом,0.102564
парень,волшебник,0.100000
фрукт,печь,0.083333
мальчик,мудрец,0.041667
автомобиль,валик,0.041667
валик,драгоценность,0.041667
петушок,путешествие,0.0
шнур,улыбка,0.0
автограф,берег,0.0
полдень,веревка,0.0
автомобиль,волшебник,0.0
приют,фрукт,0.0
стекло,маг,0.0
лес,погост,0.000000
